Date,ETF_Ticker,Stock_Ticker,Company_Name,Shares,Weight
2026-08-14,CGGR,2299955D,CONSTELLATION SOFTWARE INC CONSTELLATION SOFTWARE IN 28,4185.0,0.0
2026-08-14,CGGR,A000660,SK HYNIX INC COMMON STOCK KRW5000.0,197825.0,0.91
2026-08-14,CGGR,AAPL,APPLE INC COMMON STOCK USD.00001,1594129.0,1.9299999999999997
2026-08-14,CGGR,AFRM,AFFIRM HOLDINGS INC COMMON STOCK USD.00001,2025354.0,0.63
2026-08-14,CGGR,AIR,AIRBUS SE COMMON STOCK EUR1.0,373239.0,0.37
2026-08-14,CGGR,AKAM,AKAMAI TECHNOLOGIES INC COMMON STOCK USD.01,1025388.0,0.51
2026-08-14,CGGR,ALB,ALBEMARLE CORP COMMON STOCK USD.01,632160.0,0.34
2026-08-14,CGGR,ALNY,ALNYLAM PHARMACEUTICALS INC COMMON STOCK USD.01,683181.0,0.62
2026-08-14,CGGR,AMAT,APPLIED MATERIALS INC COMMON STOCK USD.01,217718.0,0.44
2026-08-14,CGGR,AMGN,AMGEN INC COMMON STOCK USD.0001,519696.0,0.8500000000000001
2026-08-14,CGGR,AMZN,AMAZON.COM INC COMMON STOCK USD.01,2399361.0,2.49
2026-08-14,CGGR,APH,AMPHENOL CORP CL A COMMON STOCK USD.001,1482103.0,0.98
2026-08-14,CGGR,APP,APPLOVIN CORP CLASS A COMMON STOCK USD.00003,297638.0,0.37
2026-08-14,CGGR,ARMK,ARAMARK COMMON STOCK USD.01,1773371.0,0.44
2026-08-14,CGGR,ASML,ASML HOLDING NV NY REG SHS NY REG SHRS EUR.09,151269.0,1.1
2026-08-14,CGGR,AUR,AURORA INNOVATION INC COMMON STOCK USD.0001,8413083.0,0.22999999999999998
2026-08-14,CGGR,AVGO,BROADCOM INC COMMON STOCK,3358018.0,5.22
2026-08-14,CGGR,BBD.B,BOMBARDIER INC B COMMON STOCK,379493.0,0.38
2026-08-14,CGGR,BSP,BENDING SPOONS SPA COMMON STOCK,1562430.0,0.24
2026-08-14,CGGR,BURL,BURLINGTON STORES INC COMMON STOCK USD.0001,306725.0,0.42
2026-08-14,CGGR,CBRS,CEREBRAS SYSTEMS INC   A COMMON STOCK USD.00001,1053528.0,0.91
2026-08-14,CGGR,CDNS,CADENCE DESIGN SYS INC COMMON STOCK USD.01,267555.0,0.34
2026-08-14,CGGR,CEG,CONSTELLATION ENERGY COMMON STOCK,333360.0,0.37
2026-08-14,CGGR,CMG,CHIPOTLE MEXICAN GRILL INC COMMON STOCK USD.01,6011828.0,0.8
2026-08-14,CGGR,CMQXX,CAPITAL GROUP CENTRAL CASH FUN CAPITAL GROUP CNTRL CSH M,6098919.28,2.41
2026-08-14,CGGR,COHR,COHERENT CORP COMMON STOCK,362859.0,0.4699999999999999
2026-08-14,CGGR,COST,COSTCO WHOLESALE CORP COMMON STOCK USD.005,159603.0,0.61
2026-08-14,CGGR,CRM,SALESFORCE INC COMMON STOCK USD.001,691627.0,0.54
2026-08-14,CGGR,CSCO,CISCO SYSTEMS INC COMMON STOCK USD.001,951165.0,0.42
2026-08-14,CGGR,CSGP,COSTAR GROUP INC COMMON STOCK USD.01,2111764.0,0.27
2026-08-14,CGGR,CSU,CONSTELLATION SOFTWARE INC COMMON STOCK,45600.0,0.4
2026-08-14,CGGR,CVNA,CARVANA CO COMMON STOCK USD.001,1717534.0,0.51
2026-08-14,CGGR,DASH,DOORDASH INC   A COMMON STOCK USD.00001,811236.0,0.7
2026-08-14,CGGR,DE,DEERE + CO COMMON STOCK USD1.0,268614.0,0.65
2026-08-14,CGGR,DHI,DR HORTON INC COMMON STOCK USD.01,1380846.0,0.8100000000000002
2026-08-14,CGGR,EOG,EOG RESOURCES INC COMMON STOCK USD.01,1476023.0,0.83
2026-08-14,CGGR,FANG,DIAMONDBACK ENERGY INC COMMON STOCK USD.01,551279.0,0.44
2026-08-14,CGGR,FICO,FAIR ISAAC CORP COMMON STOCK USD.01,175298.0,0.75
2026-08-14,CGGR,FSLR,FIRST SOLAR INC COMMON STOCK USD.001,452513.0,0.4
2026-08-14,CGGR,FTAI,FTAI AVIATION LTD COMMON STOCK USD1.0,525717.0,0.45000000000000007
2026-08-14,CGGR,GE,GENERAL ELECTRIC COMMON STOCK USD.01,797156.0,1.16
2026-08-14,CGGR,GEV,GE VERNOVA INC COMMON STOCK USD.01,125701.0,0.53
2026-08-14,CGGR,GH,GUARDANT HEALTH INC COMMON STOCK USD.00001,438552.0,0.27
2026-08-14,CGGR,GLEN,GLENCORE PLC COMMON STOCK USD.01,14573948.0,0.43
2026-08-14,CGGR,GMEXICO B,GRUPO MEXICO SAB DE CV SER B COMMON STOCK,13219522.0,0.67
2026-08-14,CGGR,GOOG,ALPHABET INC CL C COMMON STOCK USD.001,2330943.0,3.17
2026-08-14,CGGR,GOOGL,ALPHABET INC CL A COMMON STOCK USD.001,2202567.0,3.01
2026-08-14,CGGR,HCA,HCA HEALTHCARE INC COMMON STOCK USD.01,219215.0,0.35
2026-08-14,CGGR,HOOD,ROBINHOOD MARKETS INC   A COMMON STOCK USD.0001,575505.0,0.22
