Date,ETF_Ticker,Stock_Ticker,Company_Name,Shares,Weight
2026-08-17,JEPI,AAPL,APPLE INC COMMON STOCK,2602282.0,1.73
2026-08-17,JEPI,ABBV,ABBVIE INC COMMON STOCK,2920173.0,1.59
2026-08-17,JEPI,ACN,ACCENTURE PLC COMMON,1382361.0,0.51
2026-08-17,JEPI,ADI,ANALOG DEVICES INC,614474.0,0.52
2026-08-17,JEPI,ADSK,AUTODESK INC COMMON,796188.0,0.42
2026-08-17,JEPI,AFRM,AFFIRM HOLDINGS INC,655305.0,0.11
2026-08-17,JEPI,AJG,ARTHUR J GALLAGHER & CO,1479222.0,0.8
2026-08-17,JEPI,AMD,ADVANCED MICRO DEVICES,920361.0,1.01
2026-08-17,JEPI,AMT,AMERICAN TOWER CORP REIT,744877.0,0.28
2026-08-17,JEPI,AMZN,AMAZON.COM INC COMMON,3343232.0,1.9
2026-08-17,JEPI,AON,AON PLC COMMON STOCK USD,1080998.0,0.82
2026-08-17,JEPI,APH,AMPHENOL CORP COMMON,1838986.0,0.68
2026-08-17,JEPI,AVGO,BROADCOM INC COMMON,1869720.0,1.6
2026-08-17,JEPI,AWK,AMERICAN WATER WORKS CO,453422.0,0.13
2026-08-17,JEPI,AXP,AMERICAN EXPRESS CO,991625.0,0.73
2026-08-17,JEPI,AZO,AUTOZONE INC COMMON,58809.0,0.39
2026-08-17,JEPI,BAC,BANK OF AMERICA CORP,1512146.0,0.21
2026-08-17,JEPI,BBY,BEST BUY CO INC COMMON,513836.0,0.1
2026-08-17,JEPI,BKR,BAKER HUGHES CO COMMON,1656460.0,0.23
2026-08-17,JEPI,BMY,BRISTOL-MYERS SQUIBB CO,6439550.0,0.91
2026-08-17,JEPI,BRK.B,BERKSHIRE HATHAWAY INC,343731.0,0.37
2026-08-17,JEPI,BURL,BURLINGTON STORES INC,668642.0,0.49
2026-08-17,JEPI,C,CITIGROUP INC COMMON,3187680.0,0.96
2026-08-17,JEPI,CB,CHUBB LTD COMMON STOCK,879256.0,0.65
2026-08-17,JEPI,CDNS,CADENCE DESIGN SYSTEMS,974804.0,0.69
2026-08-17,JEPI,CHD,CHURCH & DWIGHT CO INC,1929929.0,0.41
2026-08-17,JEPI,CMG,CHIPOTLE MEXICAN GRILL,13832757.0,1.02
2026-08-17,JEPI,CMI,CUMMINS INC COMMON STOCK,320203.0,0.45
2026-08-17,JEPI,CMS,CMS ENERGY CORP COMMON,1222935.0,0.19
2026-08-17,JEPI,COP,CONOCOPHILLIPS COMMON,1637231.0,0.45
2026-08-17,JEPI,COST,COSTCO WHOLESALE CORP,613566.0,1.27
2026-08-17,JEPI,CPAY,CORPAY INC,840846.0,0.75
2026-08-17,JEPI,CVS,CVS HEALTH CORP COMMON,920994.0,0.19
2026-08-17,JEPI,DASH,DOORDASH INC COMMON,1296666.0,0.6
2026-08-17,JEPI,DE,DEERE & CO COMMON STOCK,414386.0,0.54
2026-08-17,JEPI,DIS,THE WALT DISNEY COMPANY,4294703.0,0.97
2026-08-17,JEPI,DOV,DOVER CORP COMMON STOCK,1415666.0,0.64
2026-08-17,JEPI,ECL,ECOLAB INC COMMON STOCK,1928136.0,1.16
2026-08-17,JEPI,EMR,EMERSON ELECTRIC CO,3046695.0,1.07
2026-08-17,JEPI,EOG,EOG RESOURCES INC COMMON,4975675.0,1.58
2026-08-17,JEPI,EQIX,EQUINIX INC REIT USD,417204.0,1.0
2026-08-17,JEPI,ETN,EATON CORP PLC COMMON,1573218.0,1.56
2026-08-17,JEPI,ETR,ENTERGY CORP COMMON,4134699.0,0.98
2026-08-17,JEPI,EW,EDWARDS LIFESCIENCES,962282.0,0.19
2026-08-17,JEPI,FDX,FEDEX CORP COMMON STOCK,562890.0,0.41
2026-08-17,JEPI,FDXF,FEDEX FREIGHT HOLDING CO,251879.0,0.08
2026-08-17,JEPI,FTNT,FORTINET INC COMMON,895842.0,0.3
2026-08-17,JEPI,GD,GENERAL DYNAMICS CORP,161052.0,0.14
2026-08-17,JEPI,GLW,CORNING INC COMMON STOCK,594945.0,0.22
2026-08-17,JEPI,GOOGL,ALPHABET INC-CL A -,2295985.0,1.72
2026-08-17,JEPI,HLT,HILTON WORLDWIDE,627746.0,0.45
2026-08-17,JEPI,HPE,HEWLETT PACKARD,2884760.0,0.36
2026-08-17,JEPI,HUM,HUMANA INC COMMON STOCK,200021.0,0.17
2026-08-17,JEPI,HWM,HOWMET AEROSPACE INC,2520765.0,1.59
2026-08-17,JEPI,INTC,INTEL CORP COMMON STOCK,627382.0,0.14
2026-08-17,JEPI,ISRG,INTUITIVE SURGICAL INC,637857.0,0.54
2026-08-17,JEPI,JNJ,JOHNSON & COMMON,3040538.0,1.74
2026-08-17,JEPI,KDP,KEURIG DR PEPPER INC,5925776.0,0.39
2026-08-17,JEPI,KMB,KIMBERLY-CLARK CORP,956733.0,0.22
2026-08-17,JEPI,LDOS,LEIDOS HOLDINGS INC,819133.0,0.25
2026-08-17,JEPI,LIN,LINDE PLC COMMON STOCK,66612.0,0.07
2026-08-17,JEPI,LLY,ELI LILLY AND COMPANY,385214.0,0.99
2026-08-17,JEPI,LOW,LOWE'S COS INC COMMON,3147981.0,1.48
2026-08-17,JEPI,LRCX,LAM RESEARCH CORP COMMON,2046863.0,1.53
2026-08-17,JEPI,MA,MASTERCARD INC COMMON,1421199.0,1.74
2026-08-17,JEPI,MAR,MARRIOTT INTERNATIONAL,154537.0,0.12
2026-08-17,JEPI,MCD,MCDONALD'S CORP COMMON,1261499.0,0.73
2026-08-17,JEPI,MCK,MCKESSON CORP COMMON,424357.0,0.79
2026-08-17,JEPI,MDLZ,MONDELEZ INTERNATIONAL,9505021.0,1.29
2026-08-17,JEPI,MDT,MEDTRONIC PLC COMMON,2699258.0,0.53
2026-08-17,JEPI,META,META PLATFORMS INC,1121923.0,1.39
2026-08-17,JEPI,MMM,3M CO COMMON STOCK USD,3904969.0,1.53
2026-08-17,JEPI,MNST,MONSTER BEVERAGE CORP,981988.0,0.1
2026-08-17,JEPI,MO,ALTRIA GROUP INC COMMON,1453419.0,0.2
2026-08-17,JEPI,MRK,MERCK & CO INC COMMON,1748307.0,0.52
2026-08-17,JEPI,MSFT,MICROSOFT CORP COMMON,1781733.0,1.86
2026-08-17,JEPI,MU,MICRON TECHNOLOGY INC,182506.0,0.4
2026-08-17,JEPI,NAN,SPX_5,818717.0,13.129999999999999
2026-08-17,JEPI,NEE,NEXTERA ENERGY INC,8672339.0,1.63
2026-08-17,JEPI,NFLX,NETFLIX INC COMMON STOCK,5199080.0,0.86
2026-08-17,JEPI,NVDA,NVIDIA CORP COMMON STOCK,3810529.0,1.87
2026-08-17,JEPI,NXPI,NXP SEMICONDUCTORS NV,803005.0,0.41
2026-08-17,JEPI,ORCL,ORACLE CORP COMMON STOCK,816927.0,0.26
2026-08-17,JEPI,PEP,PEPSICO INC COMMON STOCK,3925647.0,1.18
2026-08-17,JEPI,PG,THE PROCTER & GAMBLE,1633480.0,0.51
2026-08-17,JEPI,PGR,PROGRESSIVE CORP/THE,1680620.0,0.75
2026-08-17,JEPI,PLTR,PALANTIR TECHNOLOGIES,333246.0,0.13
2026-08-17,JEPI,PM,PHILIP MORRIS,3302907.0,1.33
2026-08-17,JEPI,REGN,REGENERON,626132.0,1.1
