Date,ETF_Ticker,Stock_Ticker,Company_Name,Shares,Weight
2026-08-31,DFAC,2066464D,PRINCETON BANCORP INC,5605.0,0.00048173
2026-08-31,DFAC,2091528D,NOBLE CORP PLC,341061.0,0.03181938
2026-08-31,DFAC,2138301D,JACOBS SOLUTIONS INC,164913.0,0.050037620000000005
2026-08-31,DFAC,2200963D,OMNIAB INC/OLD,7938.0,0.0
2026-08-31,DFAC,2200964D,OMNIAB INC/OLD,7938.0,0.0
2026-08-31,DFAC,2226681D,IMARA INC- CVR,11200.0,8.66e-06
2026-08-31,DFAC,2291915D,ATLANTA BRAVES HOLDINGS I,2001.0,0.00022407999999999998
2026-08-31,DFAC,2292098D,ATLANTA BRAVES HOLDINGS I,89002.0,0.00898289
2026-08-31,DFAC,2318605D,BUNGE GLOBAL SA,280964.0,0.06646668
2026-08-31,DFAC,2413416D,XOMA CORP CVR,5813.0,9.300000000000001e-07
2026-08-31,DFAC,2534206D,PALVELLA THERAPEUT - CVR,218.0,5e-07
2026-08-31,DFAC,2595777D,89BIO INC - CVR,191414.0,0.00013248
2026-08-31,DFAC,2600057D,NOVO NORDISK - CVR,5078.0,6.720000000000001e-06
2026-08-31,DFAC,2602335D,HOLOGIC INC - CVR,168658.0,3.43e-06
2026-08-31,DFAC,2606745D,TREEHOUSE FOODS INC - CVR,88942.0,0.00034944
2026-08-31,DFAC,2609678D,TEMPEST THERAPEUTICS,107.0,0.0
2026-08-31,DFAC,2624324D,INDIVIOR PHARMACEUTICALS,185666.0,0.01320203
2026-08-31,DFAC,2645536D,APELLIS PHARMACEUTIC-CVR,53004.0,3.24e-06
2026-08-31,DFAC,2649974D,KEZAR LIFE SCIENCES-CVR,1686.0,1.7199999999999998e-06
2026-08-31,DFAC,2652522D,XOMA ROYALTY CORP - CVR,16369.0,3.8990000000000004e-05
2026-08-31,DFAC,2674168D,COLUMBIA FINANCIAL INC/MD,592925.0,0.01402541
2026-08-31,DFAC,A US,AGILENT TECHNOLOGIES INC,206490.0,0.06454862
2026-08-31,DFAC,AA US,ALCOA CORP,492200.0,0.050048020000000006
2026-08-31,DFAC,AAL US,AMERICAN AIRLINES GROUP,842394.0,0.02303038
