Date,ETF_Ticker,Stock_Ticker,Company_Name,Shares,Weight
2026-09-02,AVUV,2200963D,OMNIAB INC   12.5 EARNOUT COMMON STOCK,21075.0,0.0
2026-09-02,AVUV,2200964D,OMNIAB INC   15.00 EARNOUT COMMON STOCK,21075.0,0.0
2026-09-02,AVUV,AAP,ADVANCE AUTO PARTS INC COMMON STOCK USD.0001,1221925.0,0.17
2026-09-02,AVUV,ABCB,AMERIS BANCORP COMMON STOCK USD1.0,446369.0,0.12
2026-09-02,AVUV,ABG,ASBURY AUTOMOTIVE GROUP COMMON STOCK USD.01,59489.0,0.04
2026-09-02,AVUV,ACCO,ACCO BRANDS CORP COMMON STOCK USD.01,2214738.0,0.03
2026-09-02,AVUV,ACDC,PROFRAC HOLDING CORP A COMMON STOCK USD.01,285490.0,0.0
2026-09-02,AVUV,ACEL,ACCEL ENTERTAINMENT INC COMMON STOCK USD.0001,1754619.0,0.06
2026-09-02,AVUV,ACHC,ACADIA HEALTHCARE CO INC COMMON STOCK USD.01,2400504.0,0.21
2026-09-02,AVUV,ACIC,AMERICAN COASTAL INSURANCE C COMMON STOCK USD.0001,817564.0,0.02
2026-09-02,AVUV,ACNB,ACNB CORP COMMON STOCK USD2.5,254190.0,0.05
2026-09-02,AVUV,ACNT,ASCENT INDUSTRIES CO COMMON STOCK USD1.0,135426.0,0.01
2026-09-02,AVUV,ACT,ENACT HOLDINGS INC COMMON STOCK USD.01,867456.0,0.13
2026-09-02,AVUV,ACTG,ACACIA RESEARCH CORP COMMON STOCK USD.001,612127.0,0.01
2026-09-02,AVUV,ACU,ACME UNITED CORP COMMON STOCK USD2.5,53326.0,0.01
2026-09-02,AVUV,AD,ARRAY DIGITAL INFRASTRUCTURE COMMON STOCK USD1.0,739295.0,0.09
2026-09-02,AVUV,ADV,ADVANTAGE SOLUTIONS INC COMMON STOCK USD.0001,16657.0,0.0
2026-09-02,AVUV,AEO,AMERICAN EAGLE OUTFITTERS COMMON STOCK USD.01,5948363.0,0.31
2026-09-02,AVUV,AGM,FEDERAL AGRIC MTG CORP CL C COMMON STOCK USD1.0,305774.0,0.22
2026-09-02,AVUV,AGO,ASSURED GUARANTY LTD COMMON STOCK USD.01,1144543.0,0.27
2026-09-02,AVUV,AGX,ARGAN INC COMMON STOCK USD.15,144557.0,0.19
2026-09-02,AVUV,AII,AMERICAN INTEGRITY INSURANCE COMMON STOCK USD.001,303709.0,0.03
2026-09-02,AVUV,AIN,ALBANY INTL CORP CL A COMMON STOCK USD.001,1300388.0,0.24
2026-09-02,AVUV,ALG,ALAMO GROUP INC COMMON STOCK USD.1,179092.0,0.1
2026-09-02,AVUV,ALGT,ALLEGIANT TRAVEL CO COMMON STOCK USD.001,1416096.0,0.34
2026-09-02,AVUV,ALIT,ALIGHT INC   CLASS A COMMON STOCK USD.0001,124204.0,0.01
2026-09-02,AVUV,ALK,ALASKA AIR GROUP INC COMMON STOCK USD.01,4569129.0,0.6
2026-09-02,AVUV,ALKS,ALKERMES PLC COMMON STOCK USD.01,680773.0,0.1
2026-09-02,AVUV,ALRM,ALARM.COM HOLDINGS INC COMMON STOCK,76989.0,0.01
2026-09-02,AVUV,ALRS,ALERUS FINANCIAL CORP COMMON STOCK USD1.0,161595.0,0.02
2026-09-02,AVUV,ALTO,ALTO INGREDIENTS INC COMMON STOCK USD.001,224920.0,0.0
2026-09-02,AVUV,AMAL,AMALGAMATED FINANCIAL CORP COMMON STOCK USD.01,648291.0,0.1
2026-09-02,AVUV,AMCX,AMC GLOBAL MEDIA INC COMMON STOCK,1628601.0,0.07
2026-09-02,AVUV,AMPH,AMPHASTAR PHARMACEUTICALS IN COMMON STOCK USD.0001,1147180.0,0.09
2026-09-02,AVUV,AMPY,AMPLIFY ENERGY CORP COMMON STOCK USD.01,1143875.0,0.02
2026-09-02,AVUV,AMRC,AMERESCO INC CL A COMMON STOCK USD.0001,897868.0,0.06
2026-09-02,AVUV,AMSF,AMERISAFE INC COMMON STOCK USD.01,102484.0,0.01
