date,fund,company,ticker,cusip,shares,market value ($),weight (%)
08/26/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,328,388","$201,144,510.96",9.50%
08/26/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,064,926","$198,362,010.72",9.37%
08/26/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"2,507,143","$172,315,938.39",8.14%
08/26/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,140,620","$130,363,758.00",6.16%
08/26/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,067,572","$121,915,617.00",5.76%
08/26/2026,ARKG,ABSCI CORP,ABSI,00091E109,"10,797,813","$103,982,939.19",4.91%
08/26/2026,ARKG,ILLUMINA INC,ILMN,452327109,"377,601","$84,956,448.99",4.01%
08/26/2026,ARKG,NATERA INC,NTRA,632307104,"252,025","$84,859,337.75",4.01%
08/26/2026,ARKG,ELI LILLY & CO,LLY,532457108,"66,622","$82,188,896.52",3.88%
08/26/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"478,445","$78,905,149.40",3.73%
08/26/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,535,666","$78,011,832.80",3.69%
08/26/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,419,040","$75,062,811.20",3.55%
08/26/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"4,685,115","$69,714,511.20",3.29%
08/26/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"14,314,907","$50,961,068.92",2.41%
08/26/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,862,716","$48,896,295.00",2.31%
08/26/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,765,414","$47,577,907.30",2.25%
08/26/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"525,913","$45,967,425.77",2.17%
08/26/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,291,479","$45,806,665.21",2.16%
08/26/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"5,007,249","$45,265,530.96",2.14%
08/26/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,876,963","$44,420,308.72",2.10%
08/26/2026,ARKG,VERACYTE INC,VCYT,92337F107,"898,520","$39,570,820.80",1.87%
08/26/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"612,968","$38,966,375.76",1.84%
08/26/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,704,831","$36,542,266.81",1.73%
08/26/2026,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,"1,004,618","$33,172,486.36",1.57%
08/26/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"7,885,885","$29,256,633.35",1.38%
08/26/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"1,299,211","$26,477,920.18",1.25%
08/26/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,999,772","$21,997,492.00",1.04%
08/26/2026,ARKG,CERUS CORP,CERS,157085101,"7,845,252","$21,339,085.44",1.01%
08/26/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"11,157,143","$16,958,857.36",0.80%
08/26/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"12,728,840","$12,728,839.54",0.60%
08/26/2026,ARKG,SCRIBE THERAPEUTICS INC,SCTX,811033109,"392,574","$12,250,271.67",0.58%
08/26/2026,ARKG,FREENOME INC,FRNM,35661P100,"757,197","$10,593,186.03",0.50%
08/26/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"7,095,883","$6,012,341.67",0.28%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
