date,fund,company,ticker,cusip,shares,market value ($),weight (%)
09/09/2026,ARKW,TESLA INC,TSLA,88160R101,"382,699","$140,894,463.84",7.64%
09/09/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"3,775,474","$98,199,701.19",5.33%
09/09/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"814,502","$95,573,664.68",5.18%
09/09/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"975,879","$93,860,042.22",5.09%
09/09/2026,ARKW,SPACE EXPLORATION TECHN-CL A,SPCX,84615Q103,"557,134","$85,503,354.98",4.64%
09/09/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"750,140","$74,886,476.20",4.06%
09/09/2026,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"145,911","$73,793,029.14",4.00%
09/09/2026,ARKW,AMAZON.COM INC,AMZN,023135106,"271,568","$69,784,828.96",3.78%
09/09/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"384,225","$68,753,221.50",3.73%
09/09/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"512,860","$68,774,526.00",3.73%
09/09/2026,ARKW,BLOCK INC,XYZ,852234103,"847,017","$67,846,061.70",3.68%
09/09/2026,ARKW,NVIDIA CORP,NVDA,67066G104,"281,072","$63,446,382.56",3.44%
09/09/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"181,598","$60,904,337.24",3.30%
09/09/2026,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"80,852","$49,601,084.96",2.69%
09/09/2026,ARKW,CEREBRAS SYSTEMS INC - A,CBRS,15675D103,"240,967","$48,137,977.59",2.61%
09/09/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"271,958","$46,314,447.40",2.51%
09/09/2026,ARKW,BROADCOM INC,AVGO,11135F101,"122,935","$45,308,923.60",2.46%
09/09/2026,ARKW,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"62,528","$42,400,974.63",2.30%
09/09/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"92,547","$40,628,133.00",2.20%
09/09/2026,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"179,270","$37,650,285.40",2.04%
09/09/2026,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,500,973","$37,179,101.21",2.02%
09/09/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"821,290","$36,810,217.80",2.00%
09/09/2026,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,"170,164","$35,773,577.72",1.94%
09/09/2026,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"125,129","$35,574,174.70",1.93%
09/09/2026,ARKW,EVERPURE INC-A,P,74624M102,"326,359","$33,007,949.26",1.79%
