reported_date,fund,company,ticker,cusip,shares,market_value,weight
2026-09-11,ARKF,BLOCK INC,XYZ,852234103,790528,62507048.96,7.91
2026-09-11,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,593572,53611423.04,6.79
2026-09-11,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,422127,53441278.2,6.77
2026-09-11,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,433692,49150314.36,6.22
2026-09-11,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,256234,44143993.52,5.59
2026-09-11,ARKF,TOAST INC-CLASS A,TOST,888787108,1113239,35556853.66,4.5
2026-09-11,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,192421,31914947.06,4.04
2026-09-11,ARKF,AMAZON.COM INC,AMZN,023135106,117160,29511432.4,3.74
2026-09-11,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,44083,28406203.54,3.6
2026-09-11,ARKF,BULLISH,BLSH,G16910120,745851,25269431.88,3.2
2026-09-11,ARKF,MERCADOLIBRE INC,MELI,58733R102,12996,24773495.04,3.14
2026-09-11,ARKF,NVIDIA CORP,NVDA,67066G104,111999,24456101.64,3.1
2026-09-11,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,1137249,19572055.29,2.48
2026-09-11,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,734466,17774077.2,2.25
2026-09-11,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,79132,16527509.52,2.09
2026-09-11,ARKF,SEA LTD-ADR,SE,81141R100,152376,16409371.44,2.08
2026-09-11,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,1082126,16253532.52,2.06
2026-09-11,ARKF,ADYEN NV,ADYEN,BZ1HM42,14294,15251048.96,1.93
2026-09-11,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,320209,14370979.92,1.82
2026-09-11,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,82300,13797595.0,1.75
2026-09-11,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,26476,13813323.48,1.75
2026-09-11,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,26224,13206406.4,1.67
2026-09-11,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,107399,12190860.49,1.54
2026-09-11,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,509034,12069196.14,1.53
2026-09-11,ARKF,DOORDASH INC - A,DASH,25809K105,56481,11354375.43,1.44
2026-09-11,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,685041,9453565.8,1.2
2026-09-11,ARKF,CLOUDFLARE INC - CLASS A,NET,18915M107,30470,9481349.9,1.2
2026-09-11,ARKF,SECURITIZE CORP,SECZ,81517B101,1179868,9486138.72,1.2
2026-09-11,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,247851,7440487.02,0.94
2026-09-11,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,497416,4771195.42,0.6
2026-09-11,ARKF,ZILLOW GROUP INC - C,Z,98954M200,146765,4586406.25,0.58
2026-09-11,ARKF,PAYPAY CORP,PAYP,70450C101,235647,4298201.28,0.54
2026-09-11,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,39943,3880462.45,0.49
2026-09-11,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,402842,3279133.88,0.42
2026-09-11,ARKF,CANTON STRATEGIC HOLDINGS IN,CNTN,432705309,390059,838626.85,0.11
2026-09-11,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,4307,467567.92,0.06
