reported_date,fund,company,ticker,cusip,shares,market_value,weight
2026-09-14,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,2786350,191115746.5,10.56
2026-09-14,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,1184600,150704812.0,8.33
2026-09-14,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,2353223,138863689.23,7.67
2026-09-14,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2043987,105715007.64,5.84
2026-09-14,ARKG,PERSONALIS INC,PSNL,71535D106,6469791,104875312.11,5.79
2026-09-14,ARKG,ABSCI CORP,ABSI,00091E109,10134917,83207668.57,4.6
2026-09-14,ARKG,GUARDANT HEALTH INC,GH,40131M109,502218,79039068.84,4.37
2026-09-14,ARKG,NATERA INC,NTRA,632307104,236581,77818588.33,4.3
2026-09-14,ARKG,ILLUMINA INC,ILMN,452327109,354461,73178473.45,4.04
2026-09-14,ARKG,CAREDX INC,CDNA,14167L103,1441390,72444261.4,4.0
2026-09-14,ARKG,ELI LILLY & CO,LLY,532457108,62566,69804886.2,3.86
2026-09-14,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,4397503,63104168.05,3.49
2026-09-14,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,2413599,57902240.01,3.2
2026-09-14,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,13436107,42995542.4,2.38
2026-09-14,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,1748368,42310505.6,2.34
2026-09-14,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,493673,42093028.35,2.33
2026-09-14,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,1657046,41591854.6,2.3
2026-09-14,ARKG,SCHRODINGER INC,SDGR,80810D103,2150819,40908577.38,2.26
2026-09-14,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,2700371,39776464.83,2.2
2026-09-14,ARKG,VERACYTE INC,VCYT,92337F107,908951,37148827.37,2.05
2026-09-14,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,4699877,34450098.41,1.9
2026-09-14,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2750966,32296340.84,1.78
2026-09-14,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,575372,31190916.12,1.72
2026-09-14,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,942946,26298763.94,1.45
2026-09-14,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,1505626,23668440.72,1.31
2026-09-14,ARKG,PRIME MEDICINE INC,PRME,74168J101,7401765,23167524.45,1.28
2026-09-14,ARKG,CERUS CORP,CERS,157085101,7363628,18335433.72,1.01
2026-09-14,ARKG,908 DEVICES INC,MASS,65443P102,1877000,17869040.0,0.99
2026-09-14,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,10472199,13613858.7,0.75
2026-09-14,ARKG,SCRIBE THERAPEUTICS INC,SCTX,811033109,393781,11711046.94,0.65
2026-09-14,ARKG,FREENOME INC,FRNM,35661P100,710745,10213405.65,0.56
2026-09-14,ARKG,QUANTUM-SI INC,QSI,74765K105,6660279,4928606.46,0.27
