date,fund,company,ticker,cusip,shares,market value ($),weight (%)
09/23/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"436,467","$64,483,634.58",7.40%
09/23/2026,ARKF,BLOCK INC,XYZ,852234103,"817,396","$63,372,711.88",7.27%
09/23/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,"613,744","$58,054,044.96",6.66%
09/23/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"433,692","$53,886,231.00",6.18%
09/23/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"264,934","$53,270,279.38",6.11%
09/23/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"1,601,154","$45,776,832.74",5.25%
09/23/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"51,314","$37,797,635.83",4.34%
09/23/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"198,961","$36,805,795.39",4.22%
09/23/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,151,075","$34,129,373.75",3.92%
09/23/2026,ARKF,BULLISH,BLSH,G16910120,"771,195","$31,387,636.50",3.60%
09/23/2026,ARKF,AMAZON.COM INC,AMZN,023135106,"121,132","$30,886,237.36",3.54%
09/23/2026,ARKF,NVIDIA CORP,NVDA,67066G104,"115,803","$26,503,832.61",3.04%
09/23/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,"13,428","$24,527,316.24",2.82%
09/23/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"759,426","$21,841,091.76",2.51%
09/23/2026,ARKF,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"31,991","$21,693,474.59",2.49%
09/23/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,175,901","$20,178,461.16",2.32%
09/23/2026,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"73,289","$18,326,647.34",2.10%
09/23/2026,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,"27,112","$16,911,652.24",1.94%
09/23/2026,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"331,093","$16,511,607.91",1.90%
09/23/2026,ARKF,SEA LTD-ADR,SE,81141R100,"157,548","$16,333,001.16",1.87%
09/23/2026,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,118,906","$15,843,708.96",1.82%
09/23/2026,ARKF,SECURITIZE CORP,SECZ,81517B101,"1,219,972","$15,859,636.00",1.82%
09/23/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,"14,774","$15,273,999.36",1.75%
09/23/2026,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"85,096","$13,769,383.76",1.58%
09/23/2026,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"27,376","$13,723,588.80",1.58%
09/23/2026,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"111,047","$12,694,893.04",1.46%
09/23/2026,ARKF,KALSHI INC.,,PPKALSHIC,"11,252","$11,998,909.34",1.38%
09/23/2026,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"526,338","$11,474,168.40",1.32%
09/23/2026,ARKF,DOORDASH INC - A,DASH,25809K105,"58,401","$11,225,256.21",1.29%
09/23/2026,ARKF,CLOUDFLARE INC - CLASS A,NET,18915M107,"31,502","$11,120,206.00",1.28%
09/23/2026,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,"708,321","$9,682,748.07",1.11%
09/23/2026,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,"256,275","$7,221,829.50",0.83%
09/23/2026,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"514,324","$5,549,555.96",0.64%
09/23/2026,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"4,694,463","$4,694,462.70",0.54%
09/23/2026,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"151,745","$4,696,507.75",0.54%
09/23/2026,ARKF,PAYPAY CORP,PAYP,70450C101,"243,651","$4,129,884.45",0.47%
09/23/2026,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"416,534","$4,023,718.44",0.46%
09/23/2026,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"41,299","$3,983,288.55",0.46%
09/23/2026,ARKF,CANTON STRATEGIC HOLDINGS IN,CNTN,432705309,"403,307","$988,102.15",0.11%
09/23/2026,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"4,451","$517,695.81",0.06%
09/23/2026,ARKF,BRERA HOLDINGS PLC WTS,,BREADUMMY,"78,805","$145,001.75",0.02%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
