reported_date,fund,company,ticker,cusip,shares,market_value,weight
2026-09-24,ARKW,TESLA INC,TSLA,88160R101,392551,149216486.12,7.6
2026-09-24,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,811109,99523074.3,5.07
2026-09-24,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,971276,89085434.72,4.54
2026-09-24,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,140152,86138820.72,4.39
2026-09-24,ARKW,SPACE EXPLORATION TECHN-CL A,SPCX,84615Q103,571480,84784772.8,4.32
2026-09-24,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,112460,83681486.0,4.26
2026-09-24,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,394119,78086797.47,3.98
2026-09-24,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,526066,74880234.44,3.82
2026-09-24,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,816669,70968536.1,3.62
2026-09-24,ARKW,AMAZON.COM INC,AMZN,023135106,278558,69436152.66,3.54
2026-09-24,ARKW,NVIDIA CORP,NVDA,67066G104,288308,65016337.08,3.31
2026-09-24,ARKW,BLOCK INC,XYZ,852234103,868827,64884000.36,3.31
2026-09-24,ARKW,ALPHABET INC-CL C,GOOG,02079K107,186272,62397394.56,3.18
2026-09-24,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,278960,53501738.4,2.73
2026-09-24,ARKW,CEREBRAS SYSTEMS INC - A,CBRS,15675D103,247171,50729376.04,2.59
2026-09-24,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,128351,45221907.83,2.3
2026-09-24,ARKW,BROADCOM INC,AVGO,11135F101,126097,44763174.03,2.28
2026-09-24,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,174544,43896070.56,2.24
2026-09-24,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,164012,43051509.88,2.19
2026-09-24,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,94929,42392443.53,2.16
2026-09-24,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,1539619,42277937.74,2.15
2026-09-24,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,842434,41270841.66,2.1
2026-09-24,ARKW,RUBRIK INC-A,RBRK,781154109,337046,38952406.22,1.99
2026-09-24,ARKW,BULLISH,BLSH,G16910120,882915,35413720.65,1.8
2026-09-24,ARKW,GITLAB INC-CL A,GTLB,37637K108,639569,31345276.69,1.6
2026-09-24,ARKW,EVERPURE INC-A,P,74624M102,256355,28109325.75,1.43
2026-09-24,ARKW,TOAST INC-CLASS A,TOST,888787108,726834,21666921.54,1.1
2026-09-24,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,42035,21454664.0,1.09
2026-09-24,ARKW,MERCADOLIBRE INC,MELI,58733R102,11275,20286431.0,1.03
2026-09-24,ARKW,NETFLIX INC,NFLX,64110L106,270883,19330210.88,0.99
2026-09-24,ARKW,SNOWFLAKE INC,SNOW,833445109,55719,18655278.39,0.95
2026-09-24,ARKW,DOORDASH INC - A,DASH,25809K105,95472,18069985.44,0.92
2026-09-24,ARKW,FIGMA INC-CL A,FIG,316841105,811507,17658392.32,0.9
2026-09-24,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,2459924,15054734.88,0.77
2026-09-24,ARKW,AIRBNB INC-CLASS A,ABNB,009066101,94513,14137254.54,0.72
2026-09-24,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,635771,13510133.75,0.69
2026-09-24,ARKW,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,812175,8373524.25,0.43
2026-09-24,ARKW,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,512114,4737054.5,0.24
