fund,ticker,company,previous_reported_date,current_reported_date,previous_shares,current_shares,raw_shares_delta,previous_weight,current_weight,weight_delta,estimated_creation_redemption_factor,flow_factor_confidence,flow_factor_sample_size,flow_adjusted_manager_delta,flow_adjusted_direction
ARKK,NTLA,INTELLIA THERAPEUTICS INC,2026-09-24,2026-09-25,9839063,9839063,0,1.38,1.34,-0.039999999999999813,-0.00205277833822215,0.9761904761904762,42,20197.41539480351,Buy Estimate
ARKK,ARKY,ARK ACTIVE AUTOCALL INC ETF,2026-09-24,2026-09-25,1410849,1411573,724,0.34,0.32,-0.020000000000000018,-0.00205277833822215,0.9761904761904762,42,3620.1602657022886,Buy Estimate
ARKK,AMD,ADVANCED MICRO DEVICES,2026-09-24,2026-09-25,414507,413659,-848,2.9,2.92,0.020000000000000018,-0.00205277833822215,0.9761904761904762,42,2.8909906414337456,Flow/Noise
ARKK,TER,TERADYNE INC,2026-09-24,2026-09-25,213647,213211,-436,0.95,0.93,-0.019999999999999907,-0.00205277833822215,0.9761904761904762,42,2.5699336261604913,Flow/Noise
ARKK,NTRA,NATERA INC,2026-09-24,2026-09-25,258433,257905,-528,1.15,1.18,0.030000000000000027,-0.00205277833822215,0.9761904761904762,42,2.5056642817507964,Flow/Noise
ARKK,META,META PLATFORMS INC-CLASS A,2026-09-24,2026-09-25,272015,271459,-556,2.3,2.37,0.07000000000000028,-0.00205277833822215,0.9761904761904762,42,2.3864996714983135,Flow/Noise
ARKK,CBRS,CEREBRAS SYSTEMS INC - A,2026-09-24,2026-09-25,1111813,1109533,-2280,2.6,2.57,-0.03000000000000025,-0.00205277833822215,0.9761904761904762,42,2.30564255383797,Flow/Noise
ARKK,ILMN,ILLUMINA INC,2026-09-24,2026-09-25,417944,417088,-856,1.21,1.28,0.07000000000000006,-0.00205277833822215,0.9761904761904762,42,1.9463897899258882,Flow/Noise
ARKK,KTOS,KRATOS DEFENSE & SECURITY,2026-09-24,2026-09-25,1731279,1727727,-3552,0.91,0.91,0.0,-0.00205277833822215,0.9761904761904762,42,1.9320286188740283,Flow/Noise
ARKK,AVGO,BROADCOM INC,2026-09-24,2026-09-25,394541,393733,-808,1.59,1.55,-0.040000000000000036,-0.00205277833822215,0.9761904761904762,42,1.9052183405146934,Flow/Noise
ARKK,GOOG,ALPHABET INC-CL C,2026-09-24,2026-09-25,365310,364562,-748,1.39,1.39,0.0,-0.00205277833822215,0.9761904761904762,42,1.9004547359072603,Flow/Noise
ARKK,PLTR,PALANTIR TECHNOLOGIES INC-A,2026-09-24,2026-09-25,1247935,1245375,-2560,2.72,2.69,-0.03000000000000025,-0.00205277833822215,0.9761904761904762,42,1.7339355093427002,Flow/Noise
ARKK,RKLB UQ,ROCKET LAB,2026-09-24,2026-09-25,1559649,1556449,-3200,1.25,1.28,0.030000000000000027,-0.00205277833822215,0.9761904761904762,42,1.6136824297718704,Flow/Noise
