Date,ETF_Ticker,Stock_Ticker,Company_Name,Action,Shares_Change,Weight_Change
2026-08-17,JEPI,C,CITIGROUP INC COMMON,Buy,85441.0,0.03
2026-08-17,JEPI,PLTR,PALANTIR TECHNOLOGIES,Buy,19813.0,0.01
2026-08-17,JEPI,CMG,CHIPOTLE MEXICAN GRILL,Buy,1736.0,0.02
2026-08-17,JEPI,T,AT&T INC COMMON STOCK,Buy,1460.0,0.0
2026-08-17,JEPI,MDLZ,MONDELEZ INTERNATIONAL,Buy,1192.0,-0.02
2026-08-17,JEPI,NEE,NEXTERA ENERGY INC,Buy,1088.0,0.01
2026-08-17,JEPI,BMY,BRISTOL-MYERS SQUIBB CO,Buy,808.0,0.02
2026-08-17,JEPI,KDP,KEURIG DR PEPPER INC,Buy,744.0,-0.01
2026-08-17,JEPI,SRE,SEMPRA COMMON STOCK USD,Buy,684.0,0.0
2026-08-17,JEPI,NFLX,NETFLIX INC COMMON STOCK,Buy,652.0,-0.02
2026-08-17,JEPI,EOG,EOG RESOURCES INC COMMON,Buy,624.0,0.05
2026-08-17,JEPI,DIS,THE WALT DISNEY COMPANY,Buy,540.0,-0.02
2026-08-17,JEPI,PEP,PEPSICO INC COMMON STOCK,Buy,492.0,-0.01
2026-08-17,JEPI,MMM,3M CO COMMON STOCK USD,Buy,488.0,-0.01
2026-08-17,JEPI,NVDA,NVIDIA CORP COMMON STOCK,Buy,476.0,0.02
2026-08-17,JEPI,VZ,VERIZON COMMUNICATIONS,Buy,476.0,0.0
2026-08-17,JEPI,SO,THE SOUTHERN COMPANY,Buy,452.0,0.01
2026-08-17,JEPI,VTR,VENTAS INC REIT USD 0.25,Buy,432.0,0.0
2026-08-17,JEPI,AMZN,AMAZON.COM INC COMMON,Buy,420.0,0.0
2026-08-17,JEPI,PM,PHILIP MORRIS,Buy,416.0,-0.03
2026-08-17,JEPI,WMT,WALMART INC COMMON STOCK,Buy,404.0,0.0
2026-08-17,JEPI,LOW,LOWE'S COS INC COMMON,Buy,396.0,-0.01
2026-08-17,JEPI,EMR,EMERSON ELECTRIC CO,Buy,380.0,0.0
2026-08-17,JEPI,JNJ,JOHNSON & COMMON,Buy,380.0,0.03
2026-08-17,JEPI,YUM,YUM BRANDS INC COMMON,Buy,376.0,-0.01
2026-08-17,JEPI,ABBV,ABBVIE INC COMMON STOCK,Buy,368.0,0.02
2026-08-17,JEPI,HPE,HEWLETT PACKARD,Buy,360.0,-0.01
2026-08-17,JEPI,RTX,RTX CORP,Buy,360.0,0.01
2026-08-17,JEPI,MDT,MEDTRONIC PLC COMMON,Buy,340.0,0.0
2026-08-17,JEPI,ROST,ROSS STORES INC COMMON,Buy,340.0,-0.04
2026-08-17,JEPI,AAPL,APPLE INC COMMON STOCK,Buy,328.0,0.01
2026-08-17,JEPI,HWM,HOWMET AEROSPACE INC,Buy,316.0,0.01
2026-08-17,JEPI,GOOGL,ALPHABET INC-CL A -,Buy,288.0,0.0
2026-08-17,JEPI,LRCX,LAM RESEARCH CORP COMMON,Buy,256.0,0.06
2026-08-17,JEPI,CHD,CHURCH & DWIGHT CO INC,Buy,240.0,-0.01
2026-08-17,JEPI,ECL,ECOLAB INC COMMON STOCK,Buy,240.0,0.01
2026-08-17,JEPI,AVGO,BROADCOM INC COMMON,Buy,236.0,0.01
2026-08-17,JEPI,V,VISA INC COMMON STOCK,Buy,228.0,-0.01
2026-08-17,JEPI,MSFT,MICROSOFT CORP COMMON,Buy,224.0,-0.05
2026-08-17,JEPI,MRK,MERCK & CO INC COMMON,Buy,220.0,0.01
2026-08-17,JEPI,PGR,PROGRESSIVE CORP/THE,Buy,212.0,-0.01
2026-08-17,JEPI,BKR,BAKER HUGHES CO COMMON,Buy,208.0,0.0
2026-08-17,JEPI,COP,CONOCOPHILLIPS COMMON,Buy,204.0,0.0
2026-08-17,JEPI,PG,THE PROCTER & GAMBLE,Buy,204.0,0.0
2026-08-17,JEPI,TT,TRANE TECHNOLOGIES PLC,Buy,200.0,0.0
2026-08-17,JEPI,ETN,EATON CORP PLC COMMON,Buy,196.0,0.03
2026-08-17,JEPI,VRT,VERTIV HOLDINGS CO,Buy,192.0,0.0
2026-08-17,JEPI,BAC,BANK OF AMERICA CORP,Buy,188.0,0.0
2026-08-17,JEPI,AJG,ARTHUR J GALLAGHER & CO,Buy,184.0,0.0
2026-08-17,JEPI,MO,ALTRIA GROUP INC COMMON,Buy,184.0,-0.01
2026-08-17,JEPI,MA,MASTERCARD INC COMMON,Buy,180.0,-0.01
2026-08-17,JEPI,DOV,DOVER CORP COMMON STOCK,Buy,176.0,0.01
2026-08-17,JEPI,ACN,ACCENTURE PLC COMMON,Buy,172.0,-0.02
2026-08-17,JEPI,DASH,DOORDASH INC COMMON,Buy,164.0,-0.01
2026-08-17,JEPI,TOST,TOAST INC COMMON STOCK,Buy,164.0,0.0
2026-08-17,JEPI,MCD,MCDONALD'S CORP COMMON,Buy,160.0,-0.01
2026-08-17,JEPI,CMS,CMS ENERGY CORP COMMON,Buy,152.0,0.0
2026-08-17,JEPI,TMUS,T-MOBILE US INC COMMON,Buy,152.0,-0.01
2026-08-17,JEPI,META,META PLATFORMS INC,Buy,140.0,-0.04
2026-08-17,JEPI,VRTX,VERTEX PHARMACEUTICALS,Buy,140.0,0.03
